Student_ID,Attendance,Study_Hours,CGPA,Internal_Marks,Assignment_Score,Communication_Skills,Project_Score,Placement_Status
STU00129,55.3,6.41,3.12,74.98,71.64,Low,81.8,Placed
STU00130,76.96,7.14,3.5,84.13,81.32,Medium,89.78,Placed
STU00131,72.95,9.94,4.0,84.75,87.57,Medium,100.0,Placed
STU00132,64.55,3.09,2.78,62.01,54.96,Medium,85.51,Placed
STU00133,60.15,6.62,2.94,70.63,53.25,Medium,88.07,Placed
STU00134,69.52,5.14,2.94,68.08,60.98,High,89.35,Placed
STU00135,95.55,1.36,3.09,82.55,72.71,Medium,75.85,Placed
STU00136,68.9,1.13,2.42,66.04,51.2,Low,68.35,Not Placed
STU00137,77.31,2.07,2.9,72.21,59.37,Medium,81.99,Placed
STU00138,85.23,6.84,3.53,77.07,84.0,High,94.84,Placed
STU00139,70.64,6.1,3.08,77.43,64.72,High,91.68,Placed
STU00140,96.79,5.98,3.55,79.06,100.0,Medium,92.75,Placed
STU00141,96.39,1.29,2.74,77.88,67.78,Low,73.13,Placed
STU00142,65.83,5.22,2.94,76.74,68.66,Medium,83.73,Placed
STU00143,76.38,9.32,3.82,83.03,82.5,Medium,100.0,Placed
STU00144,67.94,4.58,3.03,80.64,65.86,Medium,85.68,Placed
STU00145,67.25,6.62,3.01,76.21,71.72,Low,83.73,Placed
STU00146,56.59,8.02,3.3,79.69,65.27,Medium,93.42,Placed
STU00147,81.21,8.06,3.59,75.75,77.33,Medium,89.39,Placed
STU00148,76.62,5.67,3.15,77.48,71.32,High,86.13,Placed
STU00149,57.21,8.72,3.44,82.84,67.95,Medium,92.2,Placed
STU00150,66.98,4.52,2.85,80.87,62.79,Low,67.32,Placed
STU00151,94.06,9.0,4.0,84.24,91.1,High,100.0,Placed
STU00152,65.3,3.16,2.88,85.97,64.47,Medium,76.28,Placed
STU00153,61.23,3.52,2.87,77.27,50.0,Low,76.08,Placed
STU00154,76.05,1.48,2.54,62.86,58.77,Medium,81.45,Placed
STU00155,97.38,8.16,3.79,81.26,91.86,Medium,93.36,Placed
STU00156,65.41,4.75,2.96,82.58,62.68,Medium,76.81,Placed
STU00157,83.9,3.06,2.95,81.56,77.41,High,79.55,Placed
STU00158,87.75,3.09,2.94,75.34,66.02,Medium,78.08,Placed
STU00159,65.22,9.11,3.42,81.78,88.63,Medium,94.22,Placed
STU00160,86.31,8.51,3.81,79.95,90.78,Medium,95.57,Placed
STU00161,70.81,5.98,3.15,84.39,71.89,Low,87.51,Placed
STU00162,82.19,6.54,3.57,77.88,71.75,High,100.0,Placed
STU00163,82.24,5.27,3.37,84.71,76.32,Medium,81.22,Placed
STU00164,78.04,4.52,3.26,85.93,76.84,Medium,90.9,Placed
STU00165,58.88,9.24,3.33,80.2,71.08,Medium,100.0,Placed
STU00166,90.92,2.13,2.99,80.76,74.97,Low,76.07,Placed
STU00167,68.79,4.77,2.89,83.89,64.02,High,85.29,Placed
STU00168,63.02,4.1,2.63,72.87,50.0,Low,78.87,Placed
STU00169,56.75,5.48,2.86,73.44,50.0,Medium,75.97,Placed
STU00170,80.41,5.12,3.38,80.28,81.7,High,95.17,Placed
STU00171,84.14,5.67,3.31,75.97,84.61,High,89.58,Placed
STU00172,55.71,2.26,2.66,68.08,52.53,High,73.51,Placed
STU00173,77.02,5.62,3.33,82.18,68.53,High,81.93,Placed
STU00174,64.74,3.18,2.64,70.85,55.39,Medium,80.36,Placed
STU00175,82.74,2.66,3.06,78.41,76.56,High,81.72,Placed
STU00176,62.5,1.58,2.49,62.45,50.0,High,76.11,Placed
STU00177,84.71,7.86,3.56,82.26,93.14,Medium,99.11,Placed
STU00178,71.63,4.85,3.33,85.11,63.33,Medium,83.93,Placed
STU00179,95.28,6.64,3.71,78.97,86.01,Medium,78.32,Placed
STU00180,60.91,7.55,3.3,79.67,66.18,Low,92.53,Placed
STU00181,69.67,7.11,3.23,69.53,65.37,Low,90.68,Placed
STU00182,59.88,5.23,3.11,70.8,50.0,Low,87.39,Placed
STU00183,94.76,4.49,3.42,85.11,84.74,High,95.8,Placed
STU00184,92.73,4.38,3.39,79.17,85.54,Medium,87.45,Placed
STU00185,66.09,6.76,3.18,87.26,75.45,High,93.78,Placed
STU00186,83.38,5.45,3.44,83.49,81.7,High,92.23,Placed
STU00187,90.14,8.64,4.0,90.65,100.0,Medium,95.36,Placed
STU00188,78.87,8.87,3.66,78.58,92.88,Medium,92.93,Placed
STU00189,77.77,2.54,2.58,69.09,69.25,Medium,81.68,Placed
STU00190,65.4,2.23,2.65,68.16,56.81,High,71.58,Placed
STU00191,59.0,6.67,2.9,69.47,69.6,High,89.19,Placed
STU00192,93.58,3.71,3.23,82.12,67.72,High,79.63,Placed
STU00193,93.72,1.17,2.76,77.49,70.6,High,78.7,Placed
STU00194,82.22,9.0,4.0,89.99,76.62,High,100.0,Placed
STU00195,69.58,3.04,2.69,68.15,63.77,Low,76.51,Placed
STU00196,70.02,9.36,3.87,88.1,74.65,Medium,100.0,Placed
STU00197,86.22,7.46,3.58,73.45,100.0,High,97.06,Placed
STU00198,93.58,7.86,3.98,94.41,90.34,Medium,96.95,Placed
STU00199,93.14,2.81,3.38,74.05,78.59,High,84.47,Placed
STU00200,88.53,3.11,2.88,69.01,72.74,Medium,83.4,Placed
STU00201,82.61,5.69,3.39,81.22,75.23,Low,95.79,Placed
STU00202,58.62,2.55,2.92,76.11,50.0,High,78.69,Placed
STU00203,61.95,3.75,2.75,72.66,50.0,Medium,88.95,Placed
STU00204,93.64,3.89,3.25,73.42,68.51,Low,81.54,Placed
STU00205,81.08,2.44,2.95,81.07,70.44,High,71.59,Placed
STU00206,55.4,2.85,2.51,61.74,50.0,Medium,68.78,Not Placed
STU00207,59.36,8.1,3.1,69.77,78.38,Medium,92.13,Placed
STU00208,83.53,2.5,3.05,76.05,61.87,High,80.55,Placed
STU00209,55.22,1.26,2.0,57.68,51.8,Low,68.14,Not Placed
STU00210,61.91,6.66,3.12,83.5,73.96,High,86.15,Placed
STU00211,78.6,9.78,4.0,82.11,94.89,High,100.0,Placed
STU00212,84.75,3.98,3.06,84.56,76.15,Low,91.17,Placed
STU00213,83.03,2.07,2.7,77.6,65.6,Medium,70.43,Placed
STU00214,64.64,6.13,3.27,85.43,72.77,High,89.47,Placed
STU00215,85.62,9.16,3.78,94.8,86.22,High,100.0,Placed
STU00216,65.2,8.06,3.25,79.44,72.96,High,97.07,Placed
STU00217,68.99,6.6,3.32,74.73,69.74,Low,83.75,Placed
STU00218,87.1,3.84,3.1,76.74,70.84,Low,75.14,Placed
STU00219,82.93,5.88,3.19,75.43,80.65,Medium,82.55,Placed
STU00220,91.52,1.82,2.99,72.35,78.13,Medium,86.08,Placed
STU00221,83.28,7.11,3.64,84.38,77.37,High,92.3,Placed
STU00222,79.44,7.53,3.52,80.64,83.89,Medium,99.26,Placed
STU00223,59.03,9.69,3.54,78.77,57.9,Medium,100.0,Placed
STU00224,70.81,3.34,2.88,73.38,55.39,Low,79.63,Placed
STU00225,66.4,1.17,2.6,73.94,50.0,Low,77.46,Placed
STU00226,65.49,5.91,3.08,81.7,67.27,Low,81.45,Placed
STU00227,96.84,7.36,3.9,78.84,99.77,High,96.41,Placed
STU00228,71.9,8.11,3.63,82.05,77.36,Medium,86.45,Placed
STU00229,93.36,2.74,3.19,77.62,81.32,High,82.91,Placed
STU00230,82.14,3.36,2.99,69.98,69.82,Medium,77.66,Placed
STU00231,89.18,5.61,3.29,78.92,85.61,High,100.0,Placed
STU00232,76.61,3.98,2.93,75.85,70.33,Medium,82.51,Placed
STU00233,79.81,8.74,3.81,88.32,82.03,High,100.0,Placed
STU00234,76.18,5.26,3.46,81.85,69.6,Medium,93.34,Placed
STU00235,63.4,8.2,3.36,75.89,73.91,High,94.58,Placed
STU00236,86.07,6.23,3.6,93.21,93.4,High,98.37,Placed
STU00237,67.07,7.96,3.4,84.95,79.77,Medium,95.09,Placed
STU00238,56.05,3.99,2.71,75.24,50.0,Medium,82.43,Placed
STU00239,82.76,8.48,3.99,92.92,79.9,Medium,100.0,Placed
STU00240,62.62,3.47,2.82,75.12,52.29,High,81.15,Placed
STU00241,95.44,5.91,3.38,87.02,89.69,High,88.02,Placed
STU00242,96.02,2.93,3.04,76.8,80.88,Low,77.75,Placed
STU00243,94.34,5.28,3.65,83.75,93.75,High,91.6,Placed
STU00244,70.92,3.86,2.91,78.15,71.09,Medium,82.46,Placed
STU00245,55.66,3.4,2.42,76.95,50.0,Medium,76.32,Not Placed
STU00246,94.92,9.7,4.0,95.56,98.68,Low,96.5,Placed
STU00247,73.41,2.44,2.82,76.84,64.15,Low,66.79,Placed
STU00248,96.57,8.09,4.0,90.58,100.0,Low,96.33,Placed
STU00249,96.44,9.86,4.0,91.48,100.0,Medium,100.0,Placed
STU00250,91.68,1.18,3.17,83.01,69.29,High,79.41,Placed
STU00251,67.66,7.29,3.48,88.28,67.33,Low,96.68,Placed
STU00252,71.56,3.28,2.78,72.16,55.41,Medium,81.15,Placed
STU00253,91.6,1.36,2.71,79.07,73.53,High,72.29,Placed
STU00254,68.63,4.63,2.83,75.64,67.52,Low,77.42,Placed
STU00255,62.29,9.42,3.65,87.02,77.49,Low,100.0,Placed
STU00256,78.94,1.11,2.53,77.23,68.38,High,73.61,Placed
STU00257,95.25,6.29,3.87,90.22,98.96,High,90.85,Placed
STU00258,84.93,5.51,3.57,87.43,71.23,Medium,94.86,Placed
STU00259,79.51,8.86,3.87,84.45,87.62,Medium,100.0,Placed
STU00260,59.18,1.76,2.22,74.18,50.25,High,74.7,Placed
STU00261,81.45,7.13,3.44,84.77,81.11,Low,98.5,Placed
STU00262,97.57,7.12,3.97,88.27,89.45,High,95.19,Placed
STU00263,61.02,7.02,3.13,83.12,73.55,Low,94.64,Placed
STU00264,77.29,9.48,4.0,100.0,81.74,Medium,100.0,Placed
STU00265,92.73,8.41,3.97,81.83,81.25,High,100.0,Placed
STU00266,86.85,1.38,2.77,69.19,68.74,Low,79.9,Placed
STU00267,84.97,5.24,3.21,91.89,77.27,Medium,89.68,Placed
STU00268,85.21,4.58,3.2,80.55,88.06,Medium,94.76,Placed
STU00269,70.46,3.79,2.9,75.8,65.68,Medium,79.09,Placed
STU00270,67.62,5.06,3.18,77.57,62.45,Low,89.66,Placed
STU00271,89.8,4.46,3.13,83.64,79.03,Medium,96.42,Placed
STU00272,89.83,4.89,3.29,92.56,80.29,Medium,91.77,Placed
STU00273,92.28,9.81,4.0,84.67,100.0,Low,100.0,Placed
STU00274,94.27,1.8,3.03,75.91,79.86,Medium,77.58,Placed
STU00275,76.99,9.3,3.66,82.21,76.05,High,95.39,Placed
STU00276,76.57,5.32,3.0,79.66,70.75,Low,84.19,Placed
STU00277,89.33,6.61,3.68,90.31,86.16,High,90.96,Placed
STU00278,82.95,8.47,3.54,90.55,80.13,Medium,96.17,Placed
STU00279,85.18,4.24,3.36,84.12,65.18,Low,86.51,Placed
STU00280,89.22,4.87,3.3,92.15,84.57,Low,92.65,Placed
STU00281,93.27,4.69,3.12,74.56,78.85,Medium,83.53,Placed
STU00282,69.53,4.37,2.88,70.35,71.24,Low,79.53,Placed
STU00283,71.15,9.33,3.77,92.63,79.96,High,100.0,Placed
STU00284,59.04,8.46,3.32,80.51,64.77,High,98.65,Placed
STU00285,79.87,1.98,2.75,66.1,50.34,Low,75.23,Placed
STU00286,56.55,1.97,2.51,68.48,53.49,High,77.0,Placed
STU00287,75.02,4.85,3.07,78.15,71.33,Low,84.12,Placed
STU00288,78.33,1.89,2.57,67.58,60.64,Low,73.39,Placed
STU00289,67.32,6.57,3.2,73.34,63.23,Low,97.92,Placed
STU00290,80.41,2.29,3.01,75.11,75.8,Medium,79.02,Placed
STU00291,56.31,5.7,3.2,73.11,50.77,Low,86.4,Placed
STU00292,56.61,1.06,2.0,67.18,50.0,Medium,67.22,Not Placed
STU00293,90.37,3.85,3.35,70.44,82.26,Low,76.34,Placed
STU00294,70.49,7.09,3.41,81.36,81.38,Medium,92.44,Placed
STU00295,60.46,5.36,3.1,79.79,58.14,Medium,87.98,Placed
STU00296,77.46,9.8,3.8,85.15,81.97,Medium,100.0,Placed
STU00297,88.11,8.87,3.64,89.1,91.45,High,99.56,Placed
STU00298,64.28,4.23,2.94,68.39,64.55,Low,85.02,Placed
STU00299,81.78,1.41,2.55,67.06,71.43,Low,75.02,Placed
STU00300,58.67,8.61,3.21,76.91,59.52,High,100.0,Placed
STU00301,57.22,9.2,3.29,83.05,69.07,Medium,100.0,Placed
STU00302,77.85,8.39,3.77,86.28,73.83,High,92.17,Placed
STU00303,78.25,2.15,2.77,83.93,69.36,Low,83.12,Placed
STU00304,82.41,9.98,4.0,83.97,93.41,Medium,100.0,Placed
STU00305,86.22,3.33,3.14,70.74,68.43,Low,79.81,Placed
STU00306,96.96,7.52,3.77,94.17,100.0,Medium,91.23,Placed
STU00307,77.2,9.17,3.77,78.13,86.29,Medium,100.0,Placed
STU00308,68.89,3.12,2.67,75.51,60.82,Low,83.92,Placed
STU00309,89.19,9.17,3.93,82.3,92.8,Medium,100.0,Placed
STU00310,66.65,3.79,2.67,61.72,59.62,Low,84.47,Placed
STU00311,73.88,9.79,3.88,84.74,81.17,High,100.0,Placed
STU00312,58.37,3.53,2.82,78.3,50.0,Medium,78.63,Placed
STU00313,56.09,9.58,3.41,74.76,75.99,Medium,99.25,Placed
STU00314,96.39,1.48,3.11,80.21,73.6,High,76.49,Placed
STU00315,90.95,7.38,3.74,88.68,86.75,Low,92.9,Placed
STU00316,84.93,5.79,3.43,74.78,79.53,Medium,87.66,Placed
STU00317,72.58,5.3,2.88,73.41,77.52,Low,96.16,Placed
STU00318,62.45,3.01,2.37,76.29,60.78,Low,72.79,Placed
STU00319,61.73,7.35,3.3,82.85,64.06,Low,97.71,Placed
STU00320,65.76,2.72,2.76,71.84,63.12,Medium,88.45,Placed
STU00321,78.62,5.98,3.22,80.78,76.47,Medium,93.1,Placed
STU00322,85.73,3.28,3.28,75.91,68.36,Low,80.4,Placed
STU00323,83.39,9.6,4.0,93.57,87.66,Medium,100.0,Placed
STU00324,67.04,1.26,2.31,73.26,60.64,Low,71.19,Placed
STU00325,96.06,2.8,3.12,77.99,92.74,Low,93.03,Placed
STU00326,86.73,3.18,3.4,81.95,75.84,Medium,92.48,Placed
STU00327,78.84,4.73,2.96,70.47,68.85,Medium,86.69,Placed
STU00328,81.3,3.09,3.01,69.4,68.58,Medium,80.3,Placed
STU00329,73.04,5.42,3.11,75.44,65.13,High,88.85,Placed
STU00330,65.65,8.85,3.67,83.59,70.38,Medium,100.0,Placed
STU00331,70.31,7.41,3.61,88.58,69.18,High,96.79,Placed
STU00332,87.59,6.22,3.44,85.88,83.25,Low,87.45,Placed
STU00333,55.62,1.8,2.52,71.19,50.0,Low,69.35,Not Placed
STU00334,59.99,7.25,3.57,88.79,63.84,High,96.84,Placed
STU00335,56.98,2.5,2.49,65.15,50.0,High,69.09,Placed
STU00336,56.75,8.08,3.43,86.55,69.2,High,92.34,Placed
STU00337,91.78,3.25,3.03,72.36,76.8,Low,81.91,Placed
STU00338,85.26,4.75,3.24,85.14,76.48,Low,88.61,Placed
STU00339,75.39,4.15,2.98,75.66,66.71,Medium,88.66,Placed
STU00340,59.21,8.73,3.57,72.81,77.81,High,91.86,Placed
STU00341,76.14,2.14,2.89,78.37,59.38,Low,71.96,Placed
STU00342,75.36,6.09,3.28,83.38,77.14,High,96.49,Placed
STU00343,62.45,2.28,2.76,70.82,50.0,Medium,85.52,Placed
STU00344,73.66,7.34,3.69,82.37,78.05,High,91.32,Placed
STU00345,72.14,9.15,3.83,85.17,83.42,High,97.37,Placed
STU00346,81.48,4.91,3.13,67.95,81.43,Medium,88.87,Placed
STU00347,82.31,5.39,3.2,66.6,74.72,Low,88.05,Placed
STU00348,56.95,9.35,3.38,87.12,61.92,High,97.82,Placed
STU00349,71.11,5.69,3.31,75.63,64.25,High,85.6,Placed
STU00350,81.91,5.39,3.11,86.54,82.48,High,90.43,Placed
STU00351,76.63,6.2,3.43,88.03,87.41,Low,90.54,Placed
STU00352,91.83,7.2,3.55,90.38,95.08,High,93.51,Placed
STU00353,83.32,1.96,2.92,71.76,59.97,High,72.44,Placed
STU00354,62.01,8.39,3.44,73.25,74.58,Medium,100.0,Placed
STU00355,58.03,4.92,3.06,71.27,50.52,Low,83.62,Placed
STU00356,82.62,1.65,2.91,72.67,63.96,High,77.16,Placed
STU00357,56.14,8.08,3.52,70.36,65.26,Medium,100.0,Placed
STU00358,80.19,4.39,3.33,77.59,74.46,Low,81.86,Placed
STU00359,95.43,1.9,2.99,74.85,77.45,Medium,78.26,Placed
STU00360,79.75,6.7,3.28,72.86,75.3,Low,83.4,Placed
STU00361,71.69,8.92,3.51,76.87,85.48,Medium,95.28,Placed
STU00362,82.66,8.99,3.53,81.2,84.93,Medium,100.0,Placed
STU00363,74.7,9.62,3.65,85.59,91.15,High,93.04,Placed
STU00364,78.46,8.81,3.76,80.65,76.04,High,100.0,Placed
STU00365,95.48,1.02,2.75,74.48,75.74,High,82.57,Placed
STU00366,71.6,4.42,2.96,76.21,58.19,High,86.19,Placed
STU00367,96.33,8.37,4.0,88.23,92.16,Medium,98.81,Placed
STU00368,93.93,4.3,3.26,75.83,79.95,Medium,80.61,Placed
STU00369,63.42,6.41,3.0,69.27,74.1,Medium,78.13,Placed
STU00370,57.98,6.46,3.08,85.45,68.6,Medium,96.53,Placed
STU00371,59.33,4.29,2.65,74.93,60.57,Medium,77.95,Placed
STU00372,55.78,9.14,3.42,86.03,67.25,Low,88.44,Placed
STU00373,59.06,5.53,3.17,77.58,59.96,Medium,82.62,Placed
STU00374,84.37,5.18,3.25,78.21,85.64,Medium,82.5,Placed
STU00375,58.06,9.98,3.88,89.05,75.59,Low,100.0,Placed
STU00376,68.72,5.44,3.31,70.57,66.41,High,100.0,Placed
STU00377,91.33,2.61,2.92,69.51,84.8,Medium,84.06,Placed
STU00378,56.0,5.62,2.77,69.2,61.54,High,86.32,Placed
STU00379,90.02,8.33,3.84,83.82,93.45,Medium,100.0,Placed
STU00380,67.12,7.99,3.63,79.14,69.92,High,100.0,Placed
STU00381,60.08,8.1,3.29,81.17,64.06,High,96.76,Placed
STU00382,84.96,7.37,3.77,85.6,83.07,Medium,100.0,Placed
STU00383,82.04,3.29,3.16,84.83,73.24,Medium,79.92,Placed
STU00384,92.73,8.76,3.84,98.43,100.0,Medium,96.59,Placed
